Unnamed: 0,title,year,age_group,imdb,rotten_tomato,streaming,title2
7732,The Good Neighbor,2016,,6.3,29.0,Amazon,the g
7733,Very Semi-Serious,2015,,7.3,88.0,Amazon,
7734,Bruce Lee: A Warrior's Journey,2000,7+,8.1,,Amazon,
7735,Deep Water,2016,,6.9,,Amazon,deep water
7736,Ghost Hunters,2004,7+,6.2,,Amazon,
7737,Four Sheets to the Wind,2007,18+,6.3,10.0,Amazon,
7738,Eating Out 2: Sloppy Seconds,2006,,6.2,44.0,Amazon,
7739,Jeremiah,2002,18+,7.0,,Amazon,jeremiah
7740,1,2013,13+,8.0,,Amazon,1
7741,Blue Chips,1994,13+,6.2,37.0,Amazon,
7742,24,2016,,7.8,,Amazon,24
7743,Double Impact,1991,18+,5.6,35.0,Amazon,
7744,Tales from the Script,2009,7+,7.1,75.0,Amazon,
7745,Santoalla,2016,,6.9,85.0,Amazon,santoalla
7746,La Bare,2014,18+,6.1,78.0,Amazon,
7747,Stay Tuned,1992,7+,6.3,40.0,Amazon,stay tuned
7748,R. L. Stine's The Haunting Hour,2010,7+,8.0,,Amazon,
7749,Foxfire,1996,18+,6.2,27.0,Amazon,foxfire
7750,LBJ,2017,18+,6.4,56.0,Amazon,lbj
7751,Lisa and the Devil,1973,18+,6.4,62.0,Amazon,
7752,The Greatest Story Ever Told,1965,all,6.6,41.0,Amazon,the g
7753,Too Late,2016,,6.7,72.0,Amazon,too late
7754,Lakeboat,2000,18+,6.1,83.0,Amazon,lakeboat
7755,Athadu,2005,,8.2,,Amazon,athadu
7756,Mystic India,2005,,7.7,86.0,Amazon,
7757,Melrose Place,1992,16+,5.8,,Amazon,
7758,Willow Creek,2013,,5.1,81.0,Amazon,
7759,Giant,2009,,6.8,94.0,Amazon,giant
7760,Yu-Gi-Oh!,1998,,7.9,,Amazon,yu-gi-oh!
7761,Digging for Fire,2015,18+,5.8,66.0,Amazon,
7762,Fists of Legend,2013,,6.8,71.0,Amazon,
7763,Kites,2010,13+,6.1,72.0,Amazon,kites
7764,"New York, I Love You",2008,18+,6.2,37.0,Amazon,i love you
7765,Toomelah,2011,,6.1,10.0,Amazon,toomelah
7766,Women Who Kill,2016,,5.4,10.0,Amazon,
7767,Bubble Guppies,2011,all,6.5,,Amazon,bubble guppies
7768,Winter Kills,1979,18+,6.1,88.0,Amazon,
7769,The Man from Earth: Holocene,2017,13+,5.3,50.0,Amazon,
7770,Red Lights,2012,18+,6.2,30.0,Amazon,
7771,The Loveless,1981,18+,6.1,80.0,Amazon,
7772,Baywatch,1989,7+,5.3,,Amazon,baywatch
7773,Appropriate Adult,2011,18+,7.5,,Amazon,appropriate adult
7774,Bill Hicks: Sane Man,1989,18+,8.5,,Amazon,bill hicks: sane man
7775,Forgiving Dr. Mengele,2006,,6.9,91.0,Amazon,
7776,Little Nemo: Adventures in Slumberland,1989,all,7.2,,Amazon,
7777,Saathiya,2002,,6.8,,Amazon,saathiya
7778,Man in Red Bandana,2017,13+,8.2,63.0,Amazon,man in red bandana
7779,Demon House,2018,16+,5.2,45.0,Amazon,demon house
7780,For Those in Peril,2013,,6.4,88.0,Amazon,
7781,Felony,2014,18+,6.1,70.0,Amazon,felony
7782,The Foot Fist Way,2006,18+,6.3,54.0,Amazon,
