Unnamed: 0,title,year,age_group,imdb,rotten_tomato,streaming,title2
0,Breaking Bad,2008,18+,9.5,96.0,Netflix,breaking bad
1,Inception,2010,13+,8.8,87.0,Netflix,inception
2,Back to the Future,1985,7+,8.5,96.0,Netflix,back to the future part iii
3,The Matrix,1999,18+,8.7,88.0,Netflix,the matrix
4,The Silence of the Lambs,1991,18+,8.6,96.0,Netflix,the silence of the lambs
5,Stranger Things,2016,16+,8.8,93.0,Netflix,stranger things
6,Avengers: Infinity War,2018,13+,8.5,85.0,Netflix,avengers: infinity war
7,"The Good, the Bad and the Ugly",1966,18+,8.8,97.0,Netflix,"the good, the bad and the ugly"
8,Django Unchained,2012,18+,8.4,87.0,Netflix,
9,The Pianist,2002,18+,8.5,95.0,Netflix,the pianist
10,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97.0,Netflix,spider-man: into the spider-verse
11,Raiders of the Lost Ark,1981,7+,8.4,95.0,Netflix,indiana jones and the raiders of the lost ark
12,Avatar: The Last Airbender,2005,7+,9.2,10.0,Netflix,the last airbender
13,Inglourious Basterds,2009,18+,8.3,89.0,Netflix,inglourious basterds
14,Sherlock,2010,16+,9.1,78.0,Netflix,sherlock
15,Dark,2017,16+,8.8,94.0,Netflix,dark
16,Taxi Driver,1976,18+,8.3,96.0,Netflix,taxi driver
17,3 Idiots,2009,13+,8.4,10.0,Netflix,3 idiots
18,Money Heist,2017,18+,8.4,93.0,Netflix,money heist
19,Pan's Labyrinth,2006,18+,8.2,95.0,Netflix,pan's labyrinth
20,Monty Python and the Holy Grail,1975,7+,8.2,97.0,Netflix,monty python and the holy grail
21,Room,2015,18+,8.1,93.0,Netflix,room
22,Indiana Jones and the Last Crusade,1989,13+,8.2,89.0,Netflix,indiana jones and the last crusade
23,The Office,2005,16+,8.9,81.0,Netflix,the office
24,Supernatural,2005,16+,8.4,93.0,Netflix,supernatural
25,Groundhog Day,1993,7+,8.0,96.0,Netflix,groundhog day
26,Better Call Saul,2015,18+,8.7,97.0,Netflix,better call saul
27,Attack on Titan,2013,16+,8.8,94.0,Netflix,attack on titan
28,V for Vendetta,2006,18+,8.2,73.0,Netflix,
29,Black Mirror,2011,18+,8.8,83.0,Netflix,black mirror
30,Her,2013,18+,8.0,95.0,Netflix,her
31,Peaky Blinders,2013,18+,8.8,92.0,Netflix,peaky blinders
32,There Will Be Blood,2007,18+,8.2,91.0,Netflix,there will be blood
33,Dallas Buyers Club,2013,18+,8.0,93.0,Netflix,dallas buyers club
34,Life of Brian,1979,18+,8.1,95.0,Netflix,monty python's life of brian
35,The Social Network,2010,13+,7.7,96.0,Netflix,the social network
36,The Walking Dead,2010,18+,8.2,81.0,Netflix,the walking dead
37,Ex Machina,2015,18+,7.7,92.0,Netflix,ex machina
38,The Perks of Being a Wallflower,2012,13+,8.0,86.0,Netflix,the perks of being a wallflower
39,District 9,2009,18+,7.9,90.0,Netflix,
40,Narcos,2015,18+,8.8,89.0,Netflix,narcos
41,Silver Linings Playbook,2012,18+,7.7,92.0,Netflix,silver linings playbook
42,Mindhunter,2017,18+,8.6,96.0,Netflix,mindhunter
43,Community,2009,7+,8.5,88.0,Netflix,community
44,The Irishman,2019,18+,7.9,96.0,Netflix,the irishmanoriginal
45,The Help,2011,13+,8.1,76.0,Netflix,
46,Marvel's Daredevil,2015,18+,8.6,92.0,Netflix,marvel's daredevil
47,Dexter,2006,18+,8.6,72.0,Netflix,dexter
48,Ozark,2017,18+,8.4,81.0,Netflix,ozark
49,Drive,2011,18+,7.8,92.0,Netflix,drive
50,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,10.0,Netflix,fullmetal alchemist
51,Parks and Recreation,2009,16+,8.6,93.0,Netflix,parks and recreation
52,Mad Men,2007,16+,8.6,94.0,Netflix,mad men
53,Twin Peaks,1990,18+,8.8,89.0,Netflix,twin peaks
54,Minority Report,2002,13+,7.6,90.0,Netflix,minority report
55,Marriage Story,2019,18+,8.0,95.0,Netflix,marriage storyoriginal
56,Dangal,2016,7+,8.4,88.0,Netflix,dangal
57,Incredibles 2,2018,7+,7.6,94.0,Netflix,incredibles 2 (spanish version)
58,Train to Busan,2016,,7.5,94.0,Netflix,train to busan
59,E.T. the Extra-Terrestrial,1982,7+,7.8,98.0,Netflix,
60,One-Punch Man,2015,16+,8.8,10.0,Netflix,one-punch man
61,The 100,2014,16+,7.7,93.0,Netflix,the 100
62,The Witcher,2019,18+,8.3,67.0,Netflix,the witcher
63,Ferris Bueller's Day Off,1986,13+,7.8,80.0,Netflix,ferris bueller's day off
64,Klaus,2019,7+,8.2,94.0,Netflix,klaus
65,Despicable Me,2010,7+,7.6,81.0,Netflix,
66,Hell or High Water,2016,18+,7.6,97.0,Netflix,hell or high water
67,Like Stars on Earth,2007,7+,8.4,91.0,Netflix,
68,House of Cards,2013,18+,8.7,77.0,Netflix,house of cards
69,Lady Bird,2017,18+,7.4,99.0,Netflix,
70,The Good Place,2016,16+,8.2,97.0,Netflix,the good place
71,Outlander,2014,18+,8.4,91.0,Netflix,outlander
72,Sin City,2005,18+,8.0,77.0,Netflix,sin city
73,When They See Us,2019,18+,8.9,96.0,Netflix,when they see us
74,The Haunting,2018,18+,8.7,93.0,Netflix,the haunting of hill house
75,Willy Wonka & the Chocolate Factory,1971,all,7.8,91.0,Netflix,
76,Shameless,2011,18+,8.6,85.0,Netflix,shameless
77,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,95.0,Netflix,marvel's agents of s.h.i.e.l.d.
78,The Last Kingdom,2015,18+,8.4,91.0,Netflix,the last kingdom
79,Back to the Future Part II,1989,7+,7.8,65.0,Netflix,back to the future part iii
80,Ip Man,2008,18+,8.0,85.0,Netflix,ip man
81,Moonlight,2016,18+,7.4,98.0,Netflix,moonlight
82,Zodiac,2007,18+,7.7,89.0,Netflix,zodiac
83,Lucifer,2016,16+,8.2,87.0,Netflix,lucifer
84,Snowpiercer,2013,18+,7.1,94.0,Netflix,snowpiercer
85,13th,2016,18+,8.2,97.0,Netflix,13th
86,Indiana Jones and the Temple of Doom,1984,7+,7.6,85.0,Netflix,indiana jones and the temple of doom
87,The Theory of Everything,2014,13+,7.7,79.0,Netflix,the theory of everything
88,The Artist,2011,13+,7.9,95.0,Netflix,marina abramovic: the artist is present
89,Scott Pilgrim vs. the World,2010,13+,7.5,82.0,Netflix,scott pilgrim vs. the world
90,The Flash,2014,7+,7.7,89.0,Netflix,the flash
91,The Pursuit of Happyness,2006,13+,8.0,67.0,Netflix,the pursuit of happyness
92,Inside Man,2006,18+,7.6,86.0,Netflix,inside man: most wanted
93,Grey's Anatomy,2005,16+,7.6,83.0,Netflix,grey's anatomy
94,The Blacklist,2013,16+,8.0,91.0,Netflix,the blacklist
95,Senna,2010,13+,8.5,93.0,Netflix,senna
96,The Hateful Eight,2015,18+,7.8,75.0,Netflix,the hateful eight
97,The Curious Case of Benjamin Button,2008,13+,7.8,71.0,Netflix,the curious case of benjamin button
98,Orange Is the New Black,2013,18+,8.1,90.0,Netflix,orange is the new black
99,The Crown,2016,18+,8.7,89.0,Netflix,the crown
100,Arrested Development,2003,16+,8.7,75.0,Netflix,arrested development
101,The End of the F***ing World,2017,18+,8.1,93.0,Netflix,the end of the f***ing world
102,A Silent Voice,2016,,8.2,94.0,Netflix,a silent voice
103,Ant-Man and the Wasp,2018,13+,7.1,88.0,Netflix,ant-man and the wasp
104,The Vampire Diaries,2009,16+,7.7,86.0,Netflix,the vampire diaries
105,Dead to Me,2019,18+,8.1,90.0,Netflix,dead to me
106,How to Get Away with Murder,2014,16+,8.1,88.0,Netflix,how to get away with murder
107,Song of the Sea,2014,7+,8.1,99.0,Netflix,
108,Back to the Future Part III,1990,7+,7.4,80.0,Netflix,back to the future part iii
109,After Life,2019,18+,8.5,70.0,Netflix,after life
110,Blackfish,2013,13+,8.1,98.0,Netflix,blackfish
111,Hugo,2011,7+,7.5,93.0,Netflix,hugo
112,Searching for Sugar Man,2012,13+,8.2,95.0,Netflix,searching for sugar man
113,As Good as It Gets,1997,13+,7.7,85.0,Netflix,as good as it gets
114,American Crime Story,2016,18+,8.4,93.0,Netflix,american crime
115,End of Watch,2012,18+,7.6,85.0,Netflix,end of watch
116,Penny Dreadful,2014,18+,8.2,91.0,Netflix,penny dreadful
117,Sacred Games,2018,18+,8.7,92.0,Netflix,sacred games
118,The Disaster Artist,2017,18+,7.4,91.0,Netflix,
119,The Evil Dead,1981,18+,7.5,95.0,Netflix,the evil dead
120,BoJack Horseman,2014,18+,8.7,93.0,Netflix,bojack horseman
121,Sense8,2015,18+,8.3,86.0,Netflix,sense8
122,Malcolm X,1992,13+,7.7,88.0,Netflix,malcolm x
123,Arrow,2012,16+,7.6,85.0,Netflix,arrow
124,Sex Education,2019,16+,8.3,94.0,Netflix,sex education
125,About Time,2013,18+,7.8,68.0,Netflix,about time
126,Never Have I Ever,2020,16+,8.0,96.0,Netflix,
127,The Invisible Guest,2016,18+,8.1,67.0,Netflix,the invisible guest
128,El Camino: A Breaking Bad Movie,2019,18+,7.3,91.0,Netflix,breaking bad
129,Kung Fu Hustle,2004,18+,7.7,90.0,Netflix,kung fu hustle
130,Molly's Game,2017,18+,7.4,82.0,Netflix,molly's game
131,Philadelphia,1993,13+,7.7,80.0,Netflix,philadelphia
132,Y Tu Mamá También,2001,18+,7.6,92.0,Netflix,y tu mamá también
133,To All the Boys I've Loved Before,2020,13+,7.2,97.0,Netflix,the boys
134,Star Trek: The Next Generation,1987,7+,8.6,89.0,Netflix,star trek: the next generation
135,Broadchurch,2013,18+,8.4,92.0,Netflix,broadchurch
136,The Twilight Zone,1959,7+,9.0,82.0,Netflix,the twilight zone (
137,The IT Crowd,2006,16+,8.5,87.0,Netflix,
138,Unbelievable,2019,18+,8.4,97.0,Netflix,unbelievable
139,The Last Samurai,2003,18+,7.7,66.0,Netflix,the last samurai
140,Tucker and Dale vs. Evil,2010,18+,7.5,85.0,Netflix,tucker and dale vs. evil
141,The Matrix Reloaded,2003,18+,7.2,73.0,Netflix,the matrix reloaded
142,Uncut Gems,2019,18+,7.5,92.0,Netflix,
143,The Edge of Seventeen,2016,18+,7.3,94.0,Netflix,the edge of seventeen
144,Elite,2018,18+,7.6,97.0,Netflix,elite
145,Blue Is the Warmest Color,2013,18+,7.7,89.0,Netflix,blue is the warmest color
146,The Lincoln Lawyer,2011,18+,7.3,84.0,Netflix,the lincoln lawyer
147,The Good Wife,2009,16+,8.3,94.0,Netflix,the good wife
148,Dolemite Is My Name,2019,18+,7.3,97.0,Netflix,dolemite is my nameoriginal
149,YOU,2018,18+,7.8,91.0,Netflix,you
150,Tarzan,1999,all,7.3,89.0,Netflix,tarzan
151,Altered Carbon,2018,18+,8.1,64.0,Netflix,altered carbon
152,The Two Popes,2019,13+,7.6,89.0,Netflix,the two popesoriginal
153,The Sinner,2017,16+,8.0,95.0,Netflix,
154,Mud,2013,13+,7.4,97.0,Netflix,mud
155,Bahubali: The Beginning,2015,13+,8.1,88.0,Netflix,
156,The Florida Project,2017,18+,7.6,96.0,Netflix,the florida project
157,The Umbrella Academy,2019,16+,7.9,77.0,Netflix,the umbrella academy
158,Marvel's Jessica Jones,2015,18+,8.0,83.0,Netflix,marvel's jessica jones
159,"Love, Death & Robots",2019,18+,8.5,78.0,Netflix,"love, death & robots"
160,Lagaan: Once Upon a Time in India,2001,7+,8.1,95.0,Netflix,once upon a time
161,Icarus,2017,18+,7.9,93.0,Netflix,icarus
162,Unorthodox,2020,18+,8.0,94.0,Netflix,unorthodox
163,Roma,2018,18+,7.7,96.0,Netflix,roma
164,Bodyguard,2018,18+,8.1,93.0,Netflix,bodyguard
165,The Dawn Wall,2018,,8.1,10.0,Netflix,the dawn wall
166,Jerry Maguire,1996,18+,7.3,83.0,Netflix,jerry maguire
167,Saving Mr. Banks,2013,13+,7.5,79.0,Netflix,saving mr. banks
168,Marvel's The Punisher,2017,18+,8.5,63.0,Netflix,marvel's the punisher
169,Death Note,2006,18+,9.0,,Netflix,death note
170,Okja,2017,13+,7.3,86.0,Netflix,okja
171,Good Time,2017,18+,7.4,92.0,Netflix,good time
172,GoldenEye,1995,13+,7.2,78.0,Netflix,goldeneye
173,Master of None,2015,18+,8.3,10.0,Netflix,master of none
174,New Girl,2011,16+,7.7,94.0,Netflix,new girl
175,Kingdom,2019,18+,8.4,96.0,Netflix,kingdom
176,Once Upon a Time,2011,7+,7.7,80.0,Netflix,once upon a time
177,Ip Man 2,2010,18+,7.5,96.0,Netflix,ip man 2
178,The West Wing,1999,16+,8.8,75.0,Netflix,the west wing
179,The Platform,2019,18+,7.0,82.0,Netflix,the platformoriginal
180,The Death of Stalin,2017,18+,7.2,96.0,Netflix,the death of stalin
181,The Boy in the Striped Pyjamas,2008,13+,7.8,63.0,Netflix,
182,The Spectacular Now,2013,18+,7.1,91.0,Netflix,the spectacular now
183,Making a Murderer,2015,16+,8.6,84.0,Netflix,making a murderer
184,Schitt's Creek,2015,16+,8.4,50.0,Netflix,schitt's creek
185,Amy,2015,18+,7.8,95.0,Netflix,amy
186,West Side Story,1961,,7.5,92.0,Netflix,
187,The Lobster,2015,18+,7.2,87.0,Netflix,the lobster
188,Black Mirror: Bandersnatch,2018,,7.2,92.0,Netflix,black mirror
189,Ash vs Evil Dead,2015,18+,8.4,99.0,Netflix,
190,Gomorrah,2014,18+,8.7,94.0,Netflix,gomorrah
191,Mudbound,2017,18+,7.4,97.0,Netflix,mudbound
192,Blue Valentine,2010,18+,7.4,87.0,Netflix,blue valentine
193,Baahubali 2: The Conclusion,2017,7+,8.2,89.0,Netflix,baahubali 2: the conclusion (hindi version)
194,Ralph Breaks the Internet,2018,7+,7.1,88.0,Netflix,ralph breaks the internet: wreck-it ralph 2
195,Bates Motel,2013,18+,8.1,93.0,Netflix,bates motel
196,The Little Prince,2015,7+,7.7,93.0,Netflix,invisible essence: the little prince
197,Green Room,2015,18+,7.0,91.0,Netflix,green room
198,American Horror Story,2011,18+,8.0,,Netflix,american horror story
199,The Ballad of Buster Scruggs,2018,18+,7.3,91.0,Netflix,the ballad of buster scruggsoriginal
200,PK,2014,13+,8.1,76.0,Netflix,pk
201,Resurrection: Ertugrul,2014,16+,7.8,,Netflix,resurrection: ertugrul
202,Atypical,2017,18+,8.3,87.0,Netflix,atypical
203,Burning,2018,18+,7.5,95.0,Netflix,burning
204,Narcos: Mexico,2018,18+,8.4,88.0,Netflix,narcos: mexico
205,Frost/Nixon,2008,18+,7.7,93.0,Netflix,frost/nixon
206,Riverdale,2017,16+,7.0,86.0,Netflix,riverdale
207,Russian Doll,2019,18+,7.9,96.0,Netflix,russian doll
208,Cloverfield,2008,13+,7.0,77.0,Netflix,cloverfield
209,Gotham,2014,16+,7.8,77.0,Netflix,gotham
210,Chasing Amy,1997,18+,7.2,87.0,Netflix,chasing amy
211,Bolt,2008,7+,6.8,89.0,Netflix,bolt
212,United 93,2006,18+,7.5,90.0,Netflix,
213,13 Reasons Why,2017,18+,7.7,31.0,Netflix,13 reasons why
214,The Wicker Man,1973,18+,7.5,89.0,Netflix,the wicker man
215,Cloudy with a Chance of Meatballs,2009,7+,6.9,86.0,Netflix,cloudy with a chance of meatballs
216,Clueless,1995,13+,6.8,80.0,Netflix,clueless
217,A Single Man,2009,18+,7.6,85.0,Netflix,a single man
218,The Princess and the Frog,2009,all,7.1,85.0,Netflix,the princess and the frog
219,Big Mouth,2017,18+,8.0,10.0,Netflix,big mouth
220,Extraction,2020,18+,6.8,68.0,Netflix,extraction
221,Tremors,1990,13+,7.1,88.0,Netflix,tremors
222,Bad Genius,2017,13+,7.6,10.0,Netflix,bad genius
223,Our Planet,2019,7+,9.3,93.0,Netflix,our planet
224,The Gift,2015,18+,7.0,91.0,Netflix,the gift
225,Neon Genesis Evangelion: The End of Evangelion,1997,,8.1,88.0,Netflix,neon genesis evangelion
226,Zindagi Na Milegi Dobara,2011,7+,8.1,91.0,Netflix,zindagi na milegi dobara
227,DC's Legends of Tomorrow,2016,16+,6.8,87.0,Netflix,dc's legends of tomorrow
228,"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86.0,Netflix,"tiger king: murder, mayhem and madness"
229,Blow,2001,18+,7.6,55.0,Netflix,blow
230,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7,94.0,Netflix,the g
231,Tootsie,1982,7+,7.4,90.0,Netflix,tootsie
232,The Squid and the Whale,2005,18+,7.3,92.0,Netflix,the squid and the whale
233,Criminal Minds,2005,16+,8.1,,Netflix,criminal minds
234,Steve Jobs,2015,18+,7.2,85.0,Netflix,steve jobs
235,The OA,2016,16+,7.9,84.0,Netflix,the oa
236,The Patriot,2000,18+,7.2,61.0,Netflix,
237,Starship Troopers,1997,18+,7.2,64.0,Netflix,
238,Castlevania,2017,18+,8.2,93.0,Netflix,castlevania
239,The Queen,2006,13+,7.3,96.0,Netflix,aj and the queen
240,The Croods,2013,7+,7.2,71.0,Netflix,the croods
241,Frances Ha,2013,18+,7.5,92.0,Netflix,frances ha
242,The Half of It,2020,13+,7.0,96.0,Netflix,
243,Solo: A Star Wars Story,2018,13+,6.9,70.0,Netflix,solo: a star wars story
244,Star Trek,1966,7+,8.3,80.0,Netflix,star trek
245,Locke,2014,18+,7.1,91.0,Netflix,locke
246,Cape Fear,1991,18+,7.3,73.0,Netflix,
247,Blue Ruin,2013,18+,7.1,96.0,Netflix,blue ruin
248,Fauda,2015,16+,8.2,10.0,Netflix,fauda
249,My Life as a Zucchini,2016,13+,7.8,99.0,Netflix,my life as a zucchini
250,The Square,2013,,8.1,10.0,Netflix,spookley the square pumpkin
251,The Vietnam War,2017,18+,9.1,98.0,Netflix,the vietnam war: a film by ken burns and lynn novick
252,Starred Up,2013,18+,7.4,99.0,Netflix,starred up
253,Anne with an E,2017,7+,8.7,62.0,Netflix,anne with an e
254,Barfi!,2012,all,8.1,86.0,Netflix,barfi!
255,Neon Genesis Evangelion,1995,16+,8.5,10.0,Netflix,neon genesis evangelion
256,Gilmore Girls,2000,16+,8.1,85.0,Netflix,gilmore girls
257,Chilling Adventures of Sabrina,2018,16+,7.6,84.0,Netflix,chilling adventures of sabrina
258,Gerald's Game,2017,18+,6.6,90.0,Netflix,gerald's gameoriginal
259,The Witch,2015,18+,6.9,90.0,Netflix,the witch
260,Babel,2006,18+,7.4,69.0,Netflix,babel
261,Space Force,2020,18+,6.8,41.0,Netflix,
262,Into the Badlands,2015,16+,8.0,83.0,Netflix,into the badlands
263,Dirty Money,2018,16+,8.1,10.0,Netflix,dirty money
264,LA 92,2017,18+,8.2,93.0,Netflix,
265,Miracle,2004,7+,7.5,81.0,Netflix,miracle
266,iZombie,2015,16+,7.9,91.0,Netflix,izombie
267,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,10.0,Netflix,i'm sorry
268,Weeds,2005,18+,7.9,70.0,Netflix,weeds
269,Padman,2018,13+,7.9,10.0,Netflix,padman
270,Elizabeth,1998,18+,7.4,82.0,Netflix,elizabeth
271,I Am Not Okay with This,2020,18+,7.6,85.0,Netflix,i am not okay with this
272,NCIS,2003,16+,7.8,40.0,Netflix,ncis
273,Swades,2004,all,8.2,83.0,Netflix,swades
274,Charlie and the Chocolate Factory,2005,7+,6.6,82.0,Netflix,
275,Haider,2014,13+,8.1,86.0,Netflix,haider
276,Trumbo,2015,18+,7.5,74.0,Netflix,trumbo
277,A Series of Unfortunate Events,2017,7+,7.8,96.0,Netflix,a series of unfortunate events
278,Halt and Catch Fire,2014,16+,8.4,90.0,Netflix,halt and catch fire
279,The Master,2012,18+,7.2,85.0,Netflix,the master
280,One Piece,1999,7+,8.7,,Netflix,
281,Tinker Tailor Soldier Spy,2011,18+,7.1,83.0,Netflix,
282,Grace and Frankie,2015,7+,8.3,91.0,Netflix,grace and frankie
283,Freedom Writers,2007,13+,7.5,70.0,Netflix,freedom writers
284,I Am Mother,2019,13+,6.7,90.0,Netflix,i am
285,Kabhi Khushi Kabhie Gham,2001,all,7.4,10.0,Netflix,
286,Miss Americana,2020,18+,7.4,93.0,Netflix,miss americanaoriginal
287,Christopher Robin,2018,7+,7.3,73.0,Netflix,christopher robin
288,I Lost My Body,2019,18+,7.6,96.0,Netflix,i lost my bodyoriginal
289,Naruto,2002,7+,8.3,,Netflix,naruto
290,Person of Interest,2011,16+,8.4,,Netflix,person of interest
291,Food Wars! Shokugeki no Soma,2015,18+,8.2,,Netflix,
292,Lupin the Third: The Castle of Cagliostro,1979,7+,7.7,94.0,Netflix,
293,A Serious Man,2009,18+,7.0,90.0,Netflix,a serious man
294,Monty Python's Flying Circus,1969,16+,8.8,10.0,Netflix,
295,The Autopsy of Jane Doe,2016,18+,6.8,86.0,Netflix,the autopsy of jane doe
296,Virunga,2014,,8.2,10.0,Netflix,virunga
297,Lost in Space,2018,7+,7.3,75.0,Netflix,lost in space
298,Hush,2016,18+,6.6,91.0,Netflix,hush
299,Pose,2018,16+,8.6,96.0,Netflix,pose
300,Unbreakable Kimmy Schmidt,2015,16+,7.6,96.0,Netflix,unbreakable kimmy schmidt
301,Alias Grace,2017,18+,7.8,99.0,Netflix,alias grace
302,Hunter x Hunter,2011,16+,8.9,,Netflix,hunter x hunter (2011)
303,The King,2019,18+,7.2,70.0,Netflix,the king's avatar
304,Hannah Gadsby: Nanette,2018,,8.3,10.0,Netflix,hannah gadsby: nanetteoriginal
305,Article 15,2019,,8.3,89.0,Netflix,article 15
306,Scandal,2012,16+,7.7,93.0,Netflix,scandal
307,Godless,2017,16+,8.3,85.0,Netflix,godless
308,Queer Eye,2018,16+,8.5,93.0,Netflix,queer eye
309,Star Trek: Deep Space Nine,1993,7+,7.9,90.0,Netflix,star trek: deep space nine
310,Jane the Virgin,2014,7+,7.8,10.0,Netflix,jane the virgin
311,Lawless,2012,18+,7.3,67.0,Netflix,lawless
312,Outer Banks,2020,18+,7.6,72.0,Netflix,wicked tuna: outer banks
313,Rectify,2013,16+,8.3,95.0,Netflix,rectify
314,GLOW,2017,18+,8.0,92.0,Netflix,glow
315,The Boy Who Harnessed the Wind,2019,7+,7.6,87.0,Netflix,the boy who harnessed the windoriginal
316,Good Girls,2018,16+,7.9,87.0,Netflix,good girls
317,The Killing of a Sacred Deer,2017,18+,7.0,80.0,Netflix,the killing of a sacred deer
318,The Breadwinner,2017,13+,7.7,95.0,Netflix,the breadwinner
319,Manhunt,2017,16+,8.1,93.0,Netflix,manhunt
320,The Mask of Zorro,1998,13+,6.7,82.0,Netflix,the mask of zorro
321,Into the Night,2020,18+,7.1,83.0,Netflix,
322,Freaks,2019,18+,6.7,87.0,Netflix,freaks
323,The Guest,2014,18+,6.7,91.0,Netflix,the guest house
324,Maniac,2018,16+,7.8,85.0,Netflix,maniac
325,The Dragon Prince,2018,7+,8.4,10.0,Netflix,the dragon prince
326,American Vandal,2017,16+,8.2,97.0,Netflix,american vandal
327,Santa Clarita Diet,2017,18+,7.8,89.0,Netflix,santa clarita diet
328,Marvel's Luke Cage,2016,18+,7.3,87.0,Netflix,marvel's luke cage
329,Winter on Fire: Ukraine's Fight for Freedom,2015,,8.4,88.0,Netflix,winter on fire: ukraine's fight for freedomoriginal
330,Always Be My Maybe,2019,13+,6.8,89.0,Netflix,always be my maybeoriginal
331,The Invitation,2015,,6.6,88.0,Netflix,the invitation
332,War Horse,2011,13+,7.2,74.0,Netflix,war horse
333,Public Enemies,2009,18+,7.0,68.0,Netflix,public enemies
334,Locke & Key,2020,16+,7.4,66.0,Netflix,locke & key
335,Charmed,1998,16+,7.1,75.0,Netflix,charmed
336,Colony,2016,16+,7.4,92.0,Netflix,colony
337,The Crying Game,1992,18+,7.2,94.0,Netflix,the crying game
338,Gossip Girl,2007,16+,7.4,84.0,Netflix,gossip girl
339,Wild Wild Country,2018,16+,8.2,98.0,Netflix,wild wild country
340,Arthur Christmas,2011,7+,7.1,92.0,Netflix,arthur christmas
341,The Dark Crystal: Age of Resistance,2019,7+,8.5,87.0,Netflix,the dark crystal: age of resistance
342,Locked Up,2015,16+,8.3,10.0,Netflix,locked up
343,Dark Matter,2015,18+,7.5,89.0,Netflix,dark matter
344,Howards End,1992,7+,7.4,94.0,Netflix,howards end
345,A Most Violent Year,2014,18+,7.0,89.0,Netflix,a most violent year
346,Kapoor & Sons,2016,13+,7.7,10.0,Netflix,kapoor & sons
347,The Ring,2002,13+,7.1,71.0,Netflix,the ring
348,The Other Guys,2010,13+,6.6,78.0,Netflix,the other guys
349,The Fundamentals of Caring,2016,18+,7.3,77.0,Netflix,the fundamentals of caringoriginal
350,Shot Caller,2017,18+,7.3,69.0,Netflix,shot caller
351,The Tudors,2007,18+,8.1,69.0,Netflix,the tudors
352,Longmire,2012,16+,8.3,88.0,Netflix,longmire
353,Insidious,2010,13+,6.8,66.0,Netflix,insidious
354,Air Force One,1997,18+,6.5,76.0,Netflix,air force one
355,Reign,2013,16+,7.5,86.0,Netflix,reign
356,Bill Burr: Paper Tiger,2019,18+,8.2,86.0,Netflix,bill burr: paper tigeroriginal
357,Bad Boys,1995,18+,6.9,43.0,Netflix,bad boys
358,Bird Box,2018,18+,6.6,63.0,Netflix,bird boxoriginal
359,The Danish Girl,2015,18+,7.1,67.0,Netflix,the danish girl
360,Queen of the South,2016,16+,7.9,66.0,Netflix,queen of the south
361,The Stranger,1946,,7.4,96.0,Netflix,the stranger
362,Patriot Games,1992,18+,6.9,73.0,Netflix,patriot games
363,Derry Girls,2018,16+,8.4,97.0,Netflix,derry girls
364,Supergirl,2015,7+,6.3,88.0,Netflix,supergirl
365,Hollywood,2020,18+,7.6,57.0,Netflix,hollywood
366,Waco,2018,18+,7.9,70.0,Netflix,waco
367,On Body and Soul,2017,,7.6,89.0,Netflix,on body and souloriginal
368,The Foreigner,2017,18+,7.0,65.0,Netflix,the foreigner
369,A Ghost Story,2017,18+,6.9,91.0,Netflix,a ghost story
370,The Midnight Gospel,2020,18+,8.3,90.0,Netflix,
371,Hitch,2005,13+,6.6,68.0,Netflix,hitch
372,The Kominsky Method,2018,18+,8.2,90.0,Netflix,the kominsky method
373,Hostiles,2017,18+,7.2,72.0,Netflix,hostiles
374,One Day at a Time,2017,7+,8.2,99.0,Netflix,one day at a time
375,Star Trek: Voyager,1995,7+,7.8,77.0,Netflix,star trek: voyager
376,HAPPY!,2017,18+,8.2,84.0,Netflix,happy!
377,Swiss Army Man,2016,18+,7.0,71.0,Netflix,swiss army man
378,The Girl with All the Gifts,2016,18+,6.6,86.0,Netflix,the girl with all the gifts
379,Enemy,2013,18+,6.9,71.0,Netflix,enemy
380,No Direction Home: Bob Dylan,2005,all,8.5,88.0,Netflix,
381,Ripper Street,2012,18+,8.1,10.0,Netflix,ripper street (seasons 3–5)
382,Mystery Science Theater 3000,1988,7+,8.5,80.0,Netflix,mystery science theater 3000
383,20th Century Women,2016,18+,7.3,88.0,Netflix,20th century women
384,Angel Has Fallen,2019,18+,6.4,39.0,Netflix,angel has fallen
385,The Stranger,2020,16+,7.3,89.0,Netflix,the stranger
386,The Guernsey Literary & Potato Peel Pie Society,2018,,7.4,81.0,Netflix,the g
387,The Young Offenders,2016,,7.1,10.0,Netflix,the young offenders
388,The Borgias,2011,18+,7.9,85.0,Netflix,the borgias
389,The Inbetweeners,2008,18+,8.4,54.0,Netflix,the inbetweeners
390,The Shannara Chronicles,2016,16+,7.2,77.0,Netflix,the shannara chronicles
391,Kal Ho Naa Ho,2003,all,8.0,70.0,Netflix,kal ho naa ho
392,Marvel's The Defenders,2017,18+,7.3,78.0,Netflix,marvel's the defenders
393,The Night Comes for Us,2018,18+,7.0,92.0,Netflix,the night comes for usoriginal
394,The Secret Life of Pets 2,2019,7+,6.5,60.0,Netflix,the secret life of pets 2
