title,Genres,original,type,streaming,runtime,action,sports,thrillers_horror,comedy,romantic,drama,others,misc,travel_life,spiritual,documentary_edu,music,military_political,kids,anime,mystery,popular,game,fantasy,regional,country,title2
A Ghost Story,['dramas'],False,Movie,Netflix,92.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a ghost story
A Glimpse Inside the Mind of Charles Swan III,['comedies'],False,Movie,Netflix,86.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,a glimpse inside the mind of charles swan iii
A Grand Night In: The Story of Aardman,"['british', 'movies']",False,Movie,Netflix,59.0,,,,1.0,,,,,,,,,,,,,,,,,british,a grand night in: the story of aardman
A Gray State,"['biographical', 'documentaries']",False,Movie,Netflix,93.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,a gray state
A Haunted House,['comedies'],False,Movie,Netflix,86.0,,,,1.0,,,,,,,,,,,,,,,,,,a haunted house
A Haunting at Silver Falls: The Return,"['horror', 'movies']",False,Movie,Netflix,80.0,,,,1.0,,,,,,,,,,,,,,,,,,a haunting at silver falls: the return
A Heavy Heart,"['boxing', 'movies']",False,Movie,Netflix,109.0,,,,1.0,,,,,,,,,,,,,,,,,,a heavy heart
A Home with A View,"['chinese', 'movies']",False,Movie,Netflix,92.0,,,,,,,,1.0,,,,,,,,,,,,1.0,chinese,a home with a view
A Kind of Murder,"['crime', 'thrillers']",False,Movie,Netflix,96.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a kind of murder
A Land Imagined,"['dark', 'movies']",True,Movie,Netflix,95.0,,,,,,1.0,,,,,,,,,,,,,,,,a land imaginedoriginal
A Life of Speed: The Juan Manuel Fangio Story,"['argentinian', 'movies']",True,Movie,Netflix,93.0,,,,1.0,,,,,,,,,,,,,,,,,argentinian,a life of speed: the juan manuel fangio storyoriginal
A Little Chaos,"['british', 'movies']",False,Movie,Netflix,113.0,,,,,,1.0,,,,,,,,,,,,,,,british,a little chaos
A Little Princess,"['children', '&', 'family', 'movies']",False,Movie,Netflix,97.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,a little princess
A Love Story,['dramas'],False,Movie,Netflix,117.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,a love story
A Mighty Team,['comedies'],False,Movie,Netflix,97.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,a mighty team
A Mission in an Old Movie,['comedies'],False,Movie,Netflix,98.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,a mission in an old movie
A Most Violent Year,"['crime', 'dramas']",False,Movie,Netflix,125.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,a most violent year
A Murder in the Park,"['crime', 'documentaries']",False,Movie,Netflix,91.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a murder in the park
A Night at the Roxbury,['comedies'],False,Movie,Netflix,82.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,a night at the roxbury
A Nightmare on Elm Street,"['dark', 'movies']",False,Movie,Netflix,95.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a nightmare on elm street
A Noble Intention,['dramas'],False,Movie,Netflix,111.0,,,,1.0,,,,,,,,,,,,,,,,,,a noble intention
A Patch of Fog,"['british', 'movies']",False,Movie,Netflix,92.0,,,,,,,,1.0,,,,,,,,,,,,1.0,british,a patch of fog
A Perfect Ending,['dramas'],False,Movie,Netflix,110.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a perfect ending
A Perfect Man,['dramas'],False,Movie,Netflix,94.0,,,,1.0,,,,,,,,,,,,,,,,,,a perfect man
A Plastic Ocean,"['dark', 'movies']",False,Movie,Netflix,100.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a plastic ocean
A Remarkable Tale,['comedies'],False,Movie,Netflix,94.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,a remarkable tale
A Russell Peters Christmas,['comedies'],False,Movie,Netflix,44.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a russell peters christmas
A Scandall,"['bollywood', 'movies']",False,Movie,Netflix,108.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,bollywood,a scandall
A Second Chance,['dramas'],False,Movie,Netflix,130.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,a second chance
A Serious Man,['comedies'],False,Movie,Netflix,106.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a serious man
A Shaun the Sheep Movie: Farmageddon,['adventures'],True,Movie,Netflix,87.0,,,,1.0,,,,,,,,,,,,,,,,,,a shaun the sheep movie: farmageddonoriginal
A Silent Voice,['anime'],False,Movie,Netflix,130.0,,,,1.0,,,,,,,,,,,,,,,,,,a silent voice
A Single Man,['dramas'],False,Movie,Netflix,100.0,,,,,,1.0,,,,,,,,,,,,,,,,a single man
A Sort of Family,"['argentinian', 'movies']",False,Movie,Netflix,96.0,1.0,,,,,,,,,,,,,,,,,,,,argentinian,a sort of family
A Sort of Homecoming,['dramas'],False,Movie,Netflix,89.0,,,,1.0,,,,,,,,,,,,,,,,,,a sort of homecoming
A Stoning in Fulham County,"['courtroom', 'dramas']",False,Movie,Netflix,95.0,,,,,,,,,,,1.0,,,,,,,,,,,a stoning in fulham county
A StoryBots Christmas,"['children', '&', 'family', 'movies']",True,Movie,Netflix,26.0,,,,1.0,,,,,,,,,,,,,,,,,,a storybots christmasoriginal
A Sun,"['chinese', 'movies']",True,Movie,Netflix,156.0,,,,1.0,,,,,,,,,,,,,,,,,chinese,a sunoriginal
A Tale of Love and Darkness,"['biographical', 'dramas']",False,Movie,Netflix,98.0,,,,,,,,,,,1.0,,,,,,,,,,,a tale of love and darkness
A Trip to Jamaica,"['african', 'movies']",False,Movie,Netflix,99.0,,,,1.0,,,,,,,,,,,,,,,,,african,a trip to jamaica
A Twelve Year Night,"['biographical', 'dramas']",True,Movie,Netflix,122.0,,,,1.0,,,,,,,,,,,,,,,,,,a twelve year nightoriginal
A Very Murray Christmas,['comedies'],True,Movie,Netflix,57.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a very murray christmasoriginal
A Wednesday,"['action', '&', 'adventure']",False,Movie,Netflix,103.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a wednesday
A Witches' Ball,"['canadian', 'movies']",False,Movie,Netflix,91.0,1.0,,,,,,,1.0,,,,,,,,,,,,,canadian,a witches' ball
A Yellow Bird,['dramas'],False,Movie,Netflix,111.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,a yellow bird
A truthful Mother,"['children', '&', 'family', 'movies']",False,Movie,Netflix,85.0,1.0,,,,,,,,,,,,,,,,,,,,,a truthful mother
A.M.I.,"['canadian', 'movies']",False,Movie,Netflix,77.0,,,,,,,,1.0,,,1.0,,,,,,,,,,canadian,a.m.i.
A.X.L.,"['action', '&', 'adventure']",False,Movie,Netflix,99.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,a.x.l.
ABCD 2,"['bollywood', 'movies']",False,Movie,Netflix,146.0,,,,1.0,,,,,,,,,,,,,,,,,bollywood,abcd 2
ABCD: Any Body Can Dance,"['bollywood', 'movies']",False,Movie,Netflix,136.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,bollywood,abcd: any body can dance
ADAM SANDLER 100% FRESH,['comedies'],True,Movie,Netflix,74.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,adam sandler 100% freshoriginal
ANIMA,['dramas'],True,Movie,Netflix,15.0,,,,,,1.0,,,,,,,,,,,,,,,,animaoriginal
APEX: The Story of the Hypercar,"['documentary', 'films']",False,Movie,Netflix,86.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,apex: the story of the hypercar
ARQ,"['canadian', 'movies']",True,Movie,Netflix,89.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,canadian,arqoriginal
ATM,['comedies'],False,Movie,Netflix,122.0,,,,,,1.0,,,,,,,,,,,,,,,,atm
Aadu 2,['comedies'],False,Movie,Netflix,150.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,aadu 2
Aagey Se Right,"['bollywood', 'movies']",False,Movie,Netflix,117.0,1.0,,,,,,,1.0,,,,,,,,,,,,,bollywood,aagey se right
Aakhri Adaalat,"['action', '&', 'adventure']",False,Movie,Netflix,148.0,,,,1.0,,,,,,,,,,,,,,,,,,aakhri adaalat
Aalorukkam,['dramas'],False,Movie,Netflix,122.0,,,,1.0,,,,,,,,,,,,,,,,,,aalorukkam
Aamir,"['bollywood', 'movies']",False,Movie,Netflix,95.0,,,,,,,,1.0,,,,,,,,,,,,1.0,bollywood,aamir
Aarakshan,"['bollywood', 'movies']",False,Movie,Netflix,164.0,,,,,,1.0,,,,,,,,,,,,,,,bollywood,aarakshan
Aashayein,"['bollywood', 'movies']",False,Movie,Netflix,115.0,,,,,,,,1.0,,,,,,,,,,,,1.0,bollywood,aashayein
Aashik Awara,"['bollywood', 'movies']",False,Movie,Netflix,154.0,,,,,,1.0,,,,,,,,,,,,,,,bollywood,aashik awara
Aaviri,"['horror', 'movies']",False,Movie,Netflix,110.0,1.0,,,,,,,,,,,,,,,,,,,,,aaviri
Abby Sen,"['bengali-language', 'movies']",False,Movie,Netflix,127.0,1.0,,,,,,,,,,,,,,,,,,,,bengali-language,abby sen
Abdo Mota,"['action', '&', 'adventure']",False,Movie,Netflix,100.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,abdo mota
Abducted in Plain Sight,"['crime', 'documentaries']",False,Movie,Netflix,90.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,abducted in plain sight
"Abdullah, The Final Witness","['crime', 'dramas']",False,Movie,Netflix,88.0,,,,1.0,,,,,,,,,,,,,,,,,,"abdullah, the final witness"
Abhinetri,['comedies'],False,Movie,Netflix,131.0,,,,1.0,,,,,,,,,,,,,,,,,,abhinetri
Abominable Christmas,"['children', '&', 'family', 'movies']",False,Movie,Netflix,44.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,abominable christmas
About Time,"['british', 'movies']",False,Movie,Netflix,123.0,,,,,,1.0,,,,,,,,,,,,,,,british,about time
Abzurdah,"['argentinian', 'movies']",False,Movie,Netflix,90.0,,,,,,,,1.0,,,,,,,,,,,,1.0,argentinian,abzurdah
Acapulco La vida va,['comedies'],False,Movie,Netflix,89.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,acapulco la vida va
Accident,"['chinese', 'movies']",False,Movie,Netflix,87.0,,,,,,1.0,,,,,,,,,,,,,,,chinese,accident
Across Grace Alley,['dramas'],False,Movie,Netflix,24.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,across grace alley
Across The Line,"['canadian', 'movies']",False,Movie,Netflix,88.0,,,,,,,,,,,1.0,,,,,,,,,,canadian,across the line
Act of Vengeance,"['action', '&', 'adventure']",False,Movie,Netflix,112.0,,,,,,,,,,,1.0,,,,,,,,,,,act of vengeance
Action Replayy,"['bollywood', 'movies']",False,Movie,Netflix,129.0,1.0,,,,,,,1.0,,,,,,,,,,,,,bollywood,action replayy
Acts of Vengeance,"['action', '&', 'adventure']",False,Movie,Netflix,87.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,acts of vengeance
Adam Devine: Best Time of Our Lives,['comedies'],True,Movie,Netflix,59.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,adam devine: best time of our livesoriginal
Adam: His Song Continues,"['biographical', 'dramas']",False,Movie,Netflix,96.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,adam: his song continues
Adel Karam: Live from Beirut,['comedies'],True,Movie,Netflix,59.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,adel karam: live from beirutoriginal
Adhugo,['comedies'],False,Movie,Netflix,105.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,adhugo
Aditi Mittal: Things They Wouldn't Let Me Say,['comedies'],True,Movie,Netflix,63.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,aditi mittal: things they wouldn't let me sayoriginal
Adore,"['australian', 'movies']",False,Movie,Netflix,111.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,australian,adore
Adrishya,"['hindi-language', 'movies']",False,Movie,Netflix,99.0,,,,,,1.0,,,,,,,,,,,,,,,hindi-language,adrishya
Advantageous,['dramas'],False,Movie,Netflix,92.0,,,,,,1.0,,,,,,,,,,,,,,,,advantageous
Adventures in Public School,['comedies'],False,Movie,Netflix,86.0,,,,1.0,,,,,,,,,,,,,,,,,,adventures in public school
After,['dramas'],False,Movie,Netflix,106.0,,,,1.0,,,,,,,,,,,,,,,,,,after
After Maria,"['dark', 'movies']",True,Movie,Netflix,38.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,after mariaoriginal
After Porn Ends,"['documentary', 'films']",False,Movie,Netflix,93.0,,,,,,,,,,,1.0,,,,,,,,,,,after porn ends
After Porn Ends 3,"['documentary', 'films']",False,Movie,Netflix,87.0,,,,1.0,,,,,,,,,,,,,,,,,,after porn ends 3
After the Raid,"['dark', 'movies']",True,Movie,Netflix,25.0,,,,1.0,,,,,,,,,,,,,,,,,,after the raidoriginal
Aftermath,"['dark', 'movies']",False,Movie,Netflix,94.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,aftermath
Agatha and the Truth of Murder,"['british', 'movies']",False,Movie,Netflix,92.0,,,,,,1.0,,,,,,,,,,,,,,,british,agatha and the truth of murder
Aggretsuko: We Wish You a Metal Christmas,"['adult', 'animation']",True,Movie,Netflix,22.0,,,,,,1.0,,,,,,,,,,,,,,,,aggretsuko: we wish you a metal christmasoriginal
Agneepath,"['bollywood', 'movies']",False,Movie,Netflix,174.0,,,,1.0,,,,,,,,,,,,,,,,,bollywood,agneepath
Agustín Aristarán: Soy Rada,['comedies'],True,Movie,Netflix,60.0,,,,1.0,,,,,,,,,,,,,,,,,,agustín aristarán: soy radaoriginal
Agyaat,"['bollywood', 'movies']",False,Movie,Netflix,97.0,,,,,,,,1.0,,,,,,,,,,,,1.0,bollywood,agyaat
Ahista Ahista,"['bollywood', 'movies']",False,Movie,Netflix,122.0,,,,,,1.0,,,,,,,,,,,,,,,bollywood,ahista ahista
Airplane Mode,['comedies'],True,Movie,Netflix,97.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,airplane modeoriginal
Aisa Yeh Jahaan,"['bollywood', 'movies']",False,Movie,Netflix,127.0,,,,,,,,1.0,,,,,,,,,,,,1.0,bollywood,aisa yeh jahaan
Aiyaary,"['action', '&', 'adventure']",False,Movie,Netflix,158.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,aiyaary
Aiyyaa,"['bollywood', 'movies']",False,Movie,Netflix,151.0,1.0,,,,,,,1.0,,,,,,,,,,,,,bollywood,aiyyaa
Ajji,"['dark', 'movies']",False,Movie,Netflix,105.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,ajji
Ala Vaikunthapurramuloo,"['action', '&', 'adventure']",False,Movie,Netflix,162.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,ala vaikunthapurramuloo
Alakada Reloaded,"['african', 'movies']",False,Movie,Netflix,104.0,1.0,,,,,,,1.0,,,,,,,,,,,,,african,alakada reloaded
Alan Saldaña: Mi vida de pobre,['comedies'],True,Movie,Netflix,54.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,alan saldaña: mi vida de pobreoriginal
Alarmoty in the Land of Fire,['comedies'],False,Movie,Netflix,94.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,alarmoty in the land of fire
Albert Pinto Ko Gussa Kyun Aata Hai?,"['crime', 'dramas']",False,Movie,Netflix,85.0,,,,1.0,,,,,,,,,,,,,,,,,,albert pinto ko gussa kyun aata hai?
Albion: The Enchanted Stallion,['adventures'],False,Movie,Netflix,106.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,albion: the enchanted stallion
Alejandro Riaño: Especial de stand up,['comedies'],True,Movie,Netflix,60.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,alejandro riaño: especial de stand uporiginal
Alejandro Sanz: What I Was Is What I Am,"['biographical', 'documentaries']",False,Movie,Netflix,102.0,1.0,,,,,,,,,,,,,,,,,,,,,alejandro sanz: what i was is what i am
Alex Fernández: The Best Comedian in the World,['comedies'],True,Movie,Netflix,51.0,,,,,,1.0,,,,,,,,,,,,,,,,alex fernández: the best comedian in the worldoriginal
Alex Strangelove,['comedies'],True,Movie,Netflix,100.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,alex strangeloveoriginal
Alexis Viera: A Story of Surviving,"['biographical', 'documentaries']",False,Movie,Netflix,69.0,,,,1.0,,,,,,,,,,,,,,,,,,alexis viera: a story of surviving
Ali Wong: Baby Cobra,['comedies'],True,Movie,Netflix,60.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,ali wong: baby cobraoriginal
Ali Wong: Hard Knock Wife,['comedies'],True,Movie,Netflix,64.0,,,,1.0,,,,,,,,,,,,,,,,,,ali wong: hard knock wifeoriginal
Ali's Wedding,"['australian', 'movies']",True,Movie,Netflix,110.0,,,,1.0,,,,,,,,,,,,,,,,,australian,ali's weddingoriginal
"Alias JJ, la celebridad del mal","['colombian', 'movies']",False,Movie,Netflix,54.0,,,,,,,,1.0,,,,,,,,,,,,1.0,colombian,"alias jj, la celebridad del mal"
Alibaba Aur 40 Chor,"['action', '&', 'adventure']",False,Movie,Netflix,147.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,alibaba aur 40 chor
Alien Warfare,"['action', '&', 'adventure']",False,Movie,Netflix,88.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,alien warfare
Aliens Ate My Homework,['adventures'],False,Movie,Netflix,90.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,aliens ate my homework
Alive and Kicking,"['documentary', 'films']",False,Movie,Netflix,89.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,alive and kicking
All About Love,"['african', 'movies']",False,Movie,Netflix,79.0,,,,,,,,,,,,,,,,,,,1.0,,african,all about love
All About Nina,['comedies'],False,Movie,Netflix,101.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,all about nina
All Hallows' Eve,"['children', '&', 'family', 'movies']",False,Movie,Netflix,92.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,all hallows' eve
All In My Family,"['documentary', 'films']",True,Movie,Netflix,40.0,,,,,,1.0,,,,,,,,,,,,,,,,all in my familyoriginal
All Is Well,"['crime', 'dramas']",True,Movie,Netflix,90.0,,,,1.0,,,,,,,,,,,,,,,,,,all is welloriginal
All Light Will End,"['horror', 'movies']",False,Movie,Netflix,84.0,,,,,,1.0,,,,,,,,,,,,,,,,all light will end
All The Bright Places,"['dark', 'movies']",True,Movie,Netflix,109.0,,,,1.0,,,,,,,,,,,,,,,,,,all the bright placesoriginal
All of You,['dramas'],False,Movie,Netflix,104.0,,,,1.0,,,,,,,,,,,,,,,,,,all of you
All the Boys Love Mandy Lane,"['dark', 'movies']",False,Movie,Netflix,91.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,all the boys love mandy lane
All the Devil's Men,"['action', '&', 'adventure']",False,Movie,Netflix,100.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,all the devil's men
All the Freckles in the World,['comedies'],True,Movie,Netflix,90.0,,,,1.0,,,,,,,,,,,,,,,,,,all the freckles in the worldoriginal
All the Reasons to Forget,['comedies'],False,Movie,Netflix,90.0,,,,1.0,,,,,,,,,,,,,,,,,,all the reasons to forget
"All's Well, End's Well (2009)","['chinese', 'movies']",False,Movie,Netflix,99.0,1.0,,,,,,,,,,,,,,,,,,,,chinese,"all's well, end's well (2009)"
AllI Wish,['dramas'],False,Movie,Netflix,95.0,,,,,,1.0,,,,,,,,,,,,,,,,alli wish
Alone in Berlin,"['british', 'movies']",False,Movie,Netflix,103.0,,,,,,1.0,,,,,,,,,,,,,,,british,alone in berlin
Alpha Dog,"['crime', 'dramas']",False,Movie,Netflix,118.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,alpha dog
Alpha and Omega 2: A Howl-iday Adventure,['adventures'],False,Movie,Netflix,45.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,alpha and omega 2: a howl-iday adventure
Alpha and Omega: The Legend of the Saw Tooth Cave,['adventures'],False,Movie,Netflix,45.0,,,,1.0,,,,,,,,,,,,,,,,,,alpha and omega: the legend of the saw tooth cave
Alt-Right: Age of Rage,"['documentary', 'films']",False,Movie,Netflix,106.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,alt-right: age of rage
Altered Carbon: Resleeved,"['action', '&', 'adventure']",True,Movie,Netflix,75.0,,,,,,1.0,,,,,,,,,,,,,,,,altered carbon: resleevedoriginal
Always Be My Maybe,['comedies'],True,Movie,Netflix,102.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,always be my maybeoriginal
Always a Bridesmaid,['comedies'],False,Movie,Netflix,98.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,always a bridesmaid
Amanda Knox,"['crime', 'documentaries']",True,Movie,Netflix,92.0,,,,,,,,,,,,,,,,,,,1.0,,,amanda knoxoriginal
Amar,['dramas'],False,Movie,Netflix,104.0,,,,1.0,,,,,,,,,,,,,,,,,,amar
Amar Akbar & Tony,"['british', 'movies']",False,Movie,Netflix,92.0,,,,,,,,,,,,,,,,,,,1.0,,british,amar akbar & tony
Amar Akbar Anthony,"['action', '&', 'adventure']",False,Movie,Netflix,172.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,amar akbar anthony
Amar's Hands,['dramas'],False,Movie,Netflix,125.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,amar's hands
Amateur,"['basketball', 'movies']",True,Movie,Netflix,96.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,amateuroriginal
Amelia: A Tale of Two Sisters,"['biographical', 'documentaries']",False,Movie,Netflix,44.0,,,,,,,,,,,1.0,,,,,,,,,,,amelia: a tale of two sisters
American Anarchist,"['biographical', 'documentaries']",False,Movie,Netflix,81.0,,,,,,1.0,,,,,,,,,,,,,,,,american anarchist
American Assassin,"['action', '&', 'adventure']",False,Movie,Netflix,112.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,american assassin
American Circumcision,"['documentary', 'films']",False,Movie,Netflix,101.0,,,,1.0,,,,,,,,,,,,,,,,,,american circumcision
American Experience: Ruby Ridge,"['documentary', 'films']",False,Movie,Netflix,53.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,american experience: ruby ridge
American Experience: The Island Murder,"['crime', 'documentaries']",False,Movie,Netflix,53.0,,,,,,1.0,,,,,,,,,,,,,,,,american experience: the island murder
American Factory,"['documentary', 'films']",True,Movie,Netflix,110.0,,,,,,,,,,,,,,,,,,,1.0,,,american factoryoriginal
American Factory: A Conversation with the Obamas,"['documentary', 'films']",True,Movie,Netflix,10.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,american factory: a conversation with the obamasoriginal
American Hangman,"['canadian', 'movies']",False,Movie,Netflix,99.0,1.0,,,,,,,1.0,,,,,,,,,,,,,canadian,american hangman
American Honey,"['dark', 'movies']",False,Movie,Netflix,163.0,,,,,,,,,,,,,,,,,,,1.0,,,american honey
American Son,['dramas'],True,Movie,Netflix,90.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,american sonoriginal
American Warfighter,['dramas'],False,Movie,Netflix,106.0,,,,,,1.0,,,,,,,,,,,,,,,,american warfighter
Amit Tandon: Family Tandoncies,['comedies'],True,Movie,Netflix,72.0,,,,,,1.0,,,,,,,,,,,,,,,,amit tandon: family tandonciesoriginal
Among Family,['comedies'],False,Movie,Netflix,127.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,among family
Amrapali,"['bollywood', 'movies']",False,Movie,Netflix,116.0,,,,,,,,1.0,,,,,,,,,,,,1.0,bollywood,amrapali
Amy,"['biographical', 'documentaries']",False,Movie,Netflix,128.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,amy
Amy Schumer Growing,['comedies'],True,Movie,Netflix,61.0,,,,1.0,,,,,,,,,,,,,,,,,,amy schumer growingoriginal
Amy Schumer: The Leather Special,['comedies'],True,Movie,Netflix,57.0,,,,1.0,,,,,,,,,,,,,,,,,,amy schumer: the leather specialoriginal
An Affair to Die For,"['international', 'thrillers']",False,Movie,Netflix,83.0,,,,1.0,,,,,,,,,,,,,,,,,international,an affair to die for
An Hour and a Half,['dramas'],False,Movie,Netflix,87.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,an hour and a half
An Interview with God,['dramas'],False,Movie,Netflix,97.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,an interview with god
An Upper Egyptian,['comedies'],False,Movie,Netflix,85.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,an upper egyptian
Ana e Vitória,['comedies'],False,Movie,Netflix,116.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,ana e vitória
Anarkali of Aarah,"['bollywood', 'movies']",False,Movie,Netflix,111.0,1.0,,,,,,,1.0,,,,,,,,,,,,,bollywood,anarkali of aarah
And Breathe Normally,['dramas'],True,Movie,Netflix,102.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,and breathe normallyoriginal
Andaz Apna Apna,"['bollywood', 'movies']",False,Movie,Netflix,160.0,1.0,,,,,,,1.0,,,,,,,,,,,,,bollywood,andaz apna apna
Andhadhun,"['bollywood', 'movies']",False,Movie,Netflix,137.0,1.0,,,,,,,1.0,,,,,,,,,,,,,bollywood,andhadhun
Angamaly Diaries,"['action', '&', 'adventure']",False,Movie,Netflix,128.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,angamaly diaries
Angel Has Fallen,"['action', '&', 'adventure']",False,Movie,Netflix,121.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,angel has fallen
Angela's Christmas,"['children', '&', 'family', 'movies']",True,Movie,Netflix,30.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,angela's christmasoriginal
Angu Vaikuntapurathu (Malayalam),"['action', '&', 'adventure']",False,Movie,Netflix,162.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,angu vaikuntapurathu (malayalam)
Animal World,"['action', '&', 'adventure']",False,Movie,Netflix,130.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,animal world
Animas,"['dark', 'movies']",True,Movie,Netflix,88.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,animasoriginal
Anjaan,"['action', '&', 'adventure']",False,Movie,Netflix,146.0,,,,,,1.0,,,,,,,,,,,,,,,,anjaan
Anjelah Johnson: Not Fancy,['comedies'],True,Movie,Netflix,64.0,,,,,,1.0,,,,,,,,,,,,,,,,anjelah johnson: not fancyoriginal
Ankur Arora Murder Case,"['bollywood', 'movies']",False,Movie,Netflix,127.0,,,,1.0,,,,,,,,,,,,,,,,,bollywood,ankur arora murder case
Anna Karenina,"['british', 'movies']",False,Movie,Netflix,130.0,,,,,,,,1.0,,,,,,,,,,,,1.0,british,anna karenina
Annabelle Hooper and the Ghosts of Nantucket,['adventures'],False,Movie,Netflix,92.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,annabelle hooper and the ghosts of nantucket
Anon,"['crime', 'dramas']",True,Movie,Netflix,100.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,anonoriginal
Ant-Man and the Wasp,"['action', '&', 'adventure']",False,Movie,Netflix,118.0,,,,1.0,,,,,,,,,,,,,,,,,,ant-man and the wasp
Antar: Son of Shadad,['comedies'],False,Movie,Netflix,110.0,,,,1.0,,,,,,,,,,,,,,,,,,antar: son of shadad
Antariksha Ke Rakhwale,"['children', '&', 'family', 'movies']",False,Movie,Netflix,65.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,antariksha ke rakhwale
Anthony Jeselnik: Fire in the Maternity Ward,['comedies'],True,Movie,Netflix,64.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,anthony jeselnik: fire in the maternity wardoriginal
