title,Genres,original,type,streaming,runtime,action,sports,thrillers_horror,comedy,romantic,drama,others,misc,travel_life,spiritual,documentary_edu,music,military_political,kids,anime,mystery,popular,game,fantasy,regional,country,title2
A Korean Odyssey,"['tv', 'sci-fi', '&', 'fantasy', 'tv', 'dramas', 'romantic', 'tv', 'dramas', 'korean', 'tv', 'shows', 'fantasy', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'books', 'romantic', 'fantasy', 'tv']",False,TV,Netflix,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,korean,a korean odyssey
A Little Help with Carol Burnett,"['tv', 'comedies', 'tv', 'variety', '&', 'talk', 'shows', 'movies', '&', 'tv', 'for', 'kids', 'family', 'watch', 'together', 'tv', 'talk', 'shows']",True,TV,Netflix,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,a little help with carol burnett
A Little Thing Called First Love,"['teen', 'tv', 'shows', 'chinese', 'tv', 'shows']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,chinese,a little thing called first love
A Love So Beautiful,"['tv', 'dramas', 'romantic', 'tv', 'dramas', 'teen', 'tv', 'shows', 'chinese', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'books']",False,TV,Netflix,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,chinese,a love so beautiful
A Man Called God,"['tv', 'action', '&', 'adventure', 'tv', 'dramas', 'crime', 'tv', 'dramas', 'korean', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'comics']",False,TV,Netflix,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,korean,a man called god
A Series of Unfortunate Events,"['tv', 'comedies', 'tv', 'action', '&', 'adventure', 'tv', 'dramas', ""kids'"", 'tv', 'shows', 'adventures', 'tv', 'shows', 'based', 'on', 'books', 'family', 'watch', 'together', 'tv']",True,TV,Netflix,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,a series of unfortunate events
A Taiwanese Tale of Two Cities,"['tv', 'dramas', 'chinese', 'tv', 'shows', 'taiwanese', 'tv', 'shows']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,"taiwanese', 'chinese",a taiwanese tale of two cities
A Thousand Goodnights,"['tv', 'dramas', 'chinese', 'tv', 'shows', 'taiwanese', 'tv', 'shows']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,"taiwanese', 'chinese",a thousand goodnights
A Very Secret Service,"['tv', 'comedies', 'french', 'tv', 'shows']",True,TV,Netflix,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,french,a very secret service
A Year In Space,"['science', '&', 'nature', 'docs', 'biographical', 'documentaries', 'docuseries', 'science', '&', 'nature', 'tv']",False,TV,Netflix,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,a year in space
A.I.C.O.,"['action', 'anime', 'sci-fi', 'anime', 'anime', 'series', 'anime', 'japanese', 'tv', 'shows']",True,TV,Netflix,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,japanese,a.i.c.o.
AJ and the Queen,"['tv', 'comedies', 'tv', 'dramas', 'lgbtq', 'tv', 'shows']",True,TV,Netflix,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,aj and the queen
AJIN: Demi-Human,"['action', 'anime', 'sci-fi', 'anime', 'anime', 'series', 'anime', 'japanese', 'tv', 'shows', 'seinen', 'anime', 'tv', 'shows', 'based', 'on', 'manga']",True,TV,Netflix,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,japanese,ajin: demi-human
ARASHI's Diary -Voyage-,"['music', 'docuseries', 'japanese', 'tv', 'shows', 'music', '&', 'concert', 'documentaries']",True,TV,Netflix,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,japanese,arashi's diary -voyage-
Abstract: The Art of Design,"['social', '&', 'cultural', 'docs', 'docuseries', 'lifestyle']",True,TV,Netflix,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,abstract: the art of design
Abyss,"['tv', 'sci-fi', '&', 'fantasy', 'tv', 'dramas', 'crime', 'tv', 'dramas', 'korean', 'tv', 'shows', 'fantasy', 'tv', 'shows']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,korean,abyss
Accidentally in Love,"['tv', 'comedies', 'tv', 'dramas', 'romantic', 'tv', 'comedies', 'romantic', 'tv', 'dramas', 'chinese', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'books']",True,TV,Netflix,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,chinese,accidentally in love
Ad Vitam,"['tv', 'sci-fi', '&', 'fantasy', 'tv', 'mysteries', 'tv', 'dramas', 'crime', 'tv', 'dramas', 'french', 'tv', 'shows', 'tv', 'thrillers', 'cyberpunk', 'sci-fi', 'tv']",True,TV,Netflix,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,1.0,1.0,french,ad vitam
Adam Ruins Everything,"['tv', 'comedies']",False,TV,Netflix,,,,,1.0,,,,1.0,,,,,,,,,,,,,,adam ruins everything
Afflicted,"['reality', 'tv', 'shows', 'docuseries', 'science', '&', 'nature', 'tv', 'lifestyle']",True,TV,Netflix,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,afflicted
After Life,"['tv', 'comedies', 'tv', 'dramas', 'british', 'tv', 'shows']",True,TV,Netflix,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,british,after life
